year,CAP,CAP_W,RET_total,SPREAD_PC_median,FF30,EXCHCD,notPERMNO
2018,2470950.24,2796206.56,-4.629447,2.211213,Rtail,1,433
2018,1791675.45,2109055.5500000003,-14.122077,1.9442644,Cnstr,1,42
2018,1974304.8,1917382.5,2.7253206,2.0993702,Fin,3,17
2018,23815454.96,26340361.55,-6.619053,1.4870894,Util,1,88
2018,1304421.4400000002,2493125.75,-46.059177,2.6717558,BusEq,3,91
2018,244369.84000000003,282169.5,-12.910723,1.3782169,Fin,3,80
2018,28844825.0,27222588.0,12.086834,1.5382593,Servs,3,49
2018,2915981.1,2290791.3000000003,25.930967,3.0711417,Other,3,327
2018,3721503.85,2831002.18,27.839264,3.0021834,Other,3,639
2018,4190863.04,3062413.2,31.961945,2.3346057,Fin,1,108
2018,4181069.6,3829593.24,11.396186,1.6469039,Util,1,502
2018,5653652.76,3142418.4,70.33044,3.496898,Telcm,1,445
2018,1592325.0,2694753.46,-40.586075,2.8838856,Cnstr,1,797
2018,1118952.45,1053746.46,2.855073,1.988152,Fin,3,90
2018,518439.24,545274.38,-4.768269,3.6657596,Games,3,116
2018,2374034.67,3286216.98,-28.510708,4.795755,Other,3,766
2018,2662456.0,2380728.0,16.647015,2.4786072,Servs,1,134
2018,40767294.54,32225423.76,-8.189629,2.458918,Oil,1,220
2018,1172766.84,2045517.12,-43.67021,3.356695,Hlth,1,707
2018,3756374.56,3629369.2500000005,1.7383487,1.6254877,Util,1,212
2018,11990651.52,12248720.0,-1.0169779,1.7621987,FabPr,1,237
2018,1400607.77,1910038.0,-31.743862,2.3418386,Other,3,378
2018,10973107.64,6590451.0,30.508648,2.3338735,BusEq,1,777
2018,5293811.32,5826605.19,1.5458503,1.8580515,Other,3,228
2018,1806074.4,1425172.17,27.385452,2.086737,Hlth,3,95
2018,6103857.6000000015,4857546.51,26.870716,1.8627607,Hlth,1,48
2018,71779938.7,65621873.24,15.624516,2.1246657,Oil,1,395
2018,785404.96,1069694.76,-25.869942,3.1537452,Autos,1,324
2018,759963.0499999998,586715.25,11.8197,2.925373,Other,3,453
2018,719941.53,1530083.7,-52.96005,2.7610433,Books,3,105
2018,1810470.0,1782050.0,2.6609766,1.9872814,Txtls,1,113
2018,490921.2,319247.5,62.261475,2.822273,Telcm,3,71
2018,1564623.3,1366488.2999999998,8.960496,3.4482758,ElcEq,3,530
2018,5970636.0,9594288.0,-32.160877,1.7763541,Other,3,673
2018,5197236.12,5129343.5200000005,8.517961,2.4296675,Other,3,166
2018,48483.77,130152.0,-63.615463,2.173913,Fin,2,442
2018,3774294.98,6012947.96,-36.10041,1.7508208,FabPr,1,14
2018,1387575.36,1114146.0,24.979578,2.393617,Other,3,211
2018,17006711.52,22404546.79,-22.184042,1.9379845,BusEq,3,62
2018,4029073.0000000005,4842241.8,-14.764561,2.070723,Games,1,57
2018,3184326.27,2480144.4,27.67238,3.403086,Other,3,559
2018,1583071.36,2040617.04,-15.8760605,2.1782842,BusEq,3,3
2018,560595.0599999999,793180.16,-24.578196,3.7859337,Other,3,523
2018,1516009.62,1908247.62,-23.881433,4.7252483,Other,3,743
2018,92806032.55,136263847.9,-27.086458,1.7639685,Smoke,1,384
2018,4546361.73,5565456.0,-10.392409,2.091457,Fin,1,63
2018,52508800.0,94789440.0,-42.258434,1.946472,Other,3,802
2018,2082615.3,1436990.9,43.328682,1.1937557,Fin,3,30
2018,11648815.36,7791014.4,49.23145,1.8396548,BusEq,1,679
2018,13902288.3,14701867.92,0.17754018,2.1344378,BusEq,3,126
2018,2704259.25,2873186.34,-3.8393369,2.522686,Hshld,1,800
2018,935024.58,617478.5,42.69792,3.3088236,Other,3,804
2018,2455825.12,2682422.08,1.478006,2.4373732,Other,3,223
2018,1026810.54,1639105.38,-39.73069,3.861828,Other,3,488
2018,457845.51,443163.75,3.9775796,2.7074304,Trans,3,33
2018,192616.96,200817.6,-20.656097,2.0262008,Other,3,313
2018,2616150.6,3807438.29,-29.886675,2.2451565,Fin,3,129
2018,2249065.18,2208654.1,-1.3239658,2.7711797,Servs,1,83
2018,1051970.25,2419994.85,-55.64217,3.5714285,Cnstr,1,532
2018,2285224.36,2748190.5,-15.601978,2.7938342,Trans,3,32
2018,822364.06,917337.75,-7.753969,2.0253165,Fin,3,86
2018,6248041.54,3434996.8800000013,72.48861,3.3746185,Servs,1,591
2018,1641791.9,2207643.0,-39.581436,3.6390102,Other,3,470
2018,2211436.28,2048465.46,-6.2531214,4.664296,Other,3,515
2018,5371975.95,10389260.44,-43.65264,1.9705603,Whlsl,1,233
2018,2763846.75,3085768.6,-8.948022,1.9463341,Other,1,120
2018,679667.47,1349595.0,-47.936405,2.697392,FabPr,3,29
2018,4512993.5,3684874.0,8.780991,2.70226,Other,3,142
2018,14949815.58,15728406.48,-1.5695071,2.0833333,Rtail,3,102
2018,2057717.74,1357464.9,53.32794,2.5641026,Whlsl,3,124
2018,1351086.75,1475587.5,-7.142775,2.2317097,Fin,1,176
2018,1267225.6,1573344.0,-21.333029,2.537594,Hlth,1,112
2018,586741.68,1392939.8,-57.824436,3.4285715,Other,3,197
2018,4228452.0,4696560.0,-8.661819,2.0892417,FabPr,1,192
2018,1572541.2000000004,1614953.0,-22.558903,2.097902,Fin,1,568
2018,3953792.96,3910405.2,-2.3632507,4.065744,Other,3,714
2018,2124300.12,2162886.48,-3.009534,2.1696253,Hlth,1,680
2018,4984626.0200000005,6922936.83,8.588073,1.5473232,Food,1,623
2018,1334030.82,1131667.2000000002,5.1389213,2.8848941,Meals,1,737
2018,2149231.25,1535650.05,34.463493,2.8257456,Servs,1,543
2018,779913.75,3716265.75,-79.4132,4.5357904,Hlth,3,330
2018,3290145.6,2979297.9,5.3045983,2.3556747,Hlth,1,317
2018,6747947.94,4346887.78,56.527866,3.0209482,Other,3,255
2018,6242412.24,8892084.09,-18.794865,2.1295674,Fin,1,386
2018,2955125.8000000007,3080964.9000000013,-5.3895206,2.335929,Servs,1,544
2018,545689.5,858304.5,-35.469933,2.2079117,Fin,1,466
2018,1189388.34,1503351.3,-20.076893,2.1844661,Fin,3,60
2018,2969620.98,2031898.96,42.739933,2.9282577,Other,3,204
2018,137642.92,155107.6,-9.842583,1.8322083,Other,3,676
2018,8258773.660000001,10440949.86,-19.92351,2.4495394,Util,1,175
2018,6226430.0,7685770.0,-18.98763,1.8378564,,1,328
2018,1721976.64,2245087.98,-18.7631,2.823334,Other,3,701
2018,31197815.04000001,53768169.36,-34.919025,2.6466382,FabPr,3,614
2018,1233950.0,1731921.2000000004,-30.133232,4.786398,Other,3,404
2018,162039692.85,195720382.56,-2.9728384,1.6375545,Servs,1,6
2018,1261682.37,1492065.25,-11.416562,2.9243355,Servs,1,332
2018,2236530.17,1461031.95,51.531292,2.7596223,Other,3,437
2018,702404.13,833340.3,-13.34154,2.0496225,Fin,3,122
2018,1616460.3,1645178.15,-6.5240946,3.9787798,Other,3,762
2018,2316182.58,1581336.36,45.36883,2.536402,Hlth,3,13
2018,1076540.92,2457494.0,-56.19355,2.5961537,,1,297
2018,4828018.7,9269259.78,-42.462315,2.9188077,Chems,1,798
2018,2868452.52,3814875.55,-22.181667,2.4561403,FabPr,1,637
2018,1737970.74,2044902.75,-16.637552,3.7366188,Other,3,299
2018,643320.8099999999,622687.8,1.8462268,2.5024061,Servs,3,182
2018,22969584.68,22414740.0,5.2605963,1.5603799,Food,1,37
2018,325999.94,344552.26,-2.5924687,2.1645021,Fin,3,580
2018,201545937.9,195479401.96,6.7928467,1.2091357,Food,1,78
2018,2884419.75,2819905.5500000007,5.808676,2.6884754,Servs,1,38
2018,948252.08,3438420.0,-73.58827,5.1394424,Other,3,243
2018,6415399.01,5559811.5600000005,20.206299,1.4756768,Servs,1,160
2018,8297830.0,14930244.0,-42.998302,2.3038948,Hlth,3,101
2018,199155.51,228523.1,-12.110395,2.6525822,Other,3,343
2018,1294225.66,2040212.25,-49.605816,4.408714,Servs,1,418
2018,4067688.2,4553409.6000000015,-9.747473,3.4076016,Other,3,719
2018,747432.0,595217.0,-10.558821,2.0618556,Other,3,760
2018,2014666.55,1920876.84,2.61554,4.226344,Other,3,461
2018,3351316.14,4964811.6000000015,-36.52858,1.9683257,Servs,1,206
2018,12175052.2,11796041.94,3.9688625,1.908397,Servs,3,87
2018,2064001.56,2927942.85,-30.863417,3.4730885,BusEq,3,115
2018,2003200.62,1790347.95,-7.3613725,1.8828075,Fin,3,77
2018,12318507.5,23061583.09,-47.02213,2.2603781,Util,1,341
2018,2495050.74,1781875.5,37.403847,3.0818279,Other,3,803
2018,825531.6000000002,1309752.93,-33.7723,2.3012552,Hshld,3,546
2018,3953908.8,3111379.0500000007,29.141476,2.8817205,Trans,1,217
2018,5692404.579999999,6105646.270000001,3.3411689,2.0229266,Whlsl,1,276
2018,2907109.16,3478064.4,-16.610357,3.0598521,Servs,1,282
2018,650307.36,656131.0,-2.986463,2.7308192,Other,3,579
2018,1534163.88,1394060.4,-8.963408,4.1962852,Other,3,168
2018,1802062.5,2342389.2,-19.613068,2.010969,Fin,1,690
2018,1701061.25,2199209.5,-22.214006,2.1091485,Other,3,601
2018,927979.65,1538544.0,-38.360943,2.8826752,Paper,1,354
2018,576696.9,911244.5,-50.01114,5.3959966,Other,3,184
2018,5697554.04,2490176.05,132.61568,3.9963462,Other,3,770
2018,234765.37,212123.23,14.463452,4.4836035,Trans,3,45
2018,4532698.96,5457888.8,-24.10025,2.216709,Hlth,1,627
2018,13911023.76,20653782.18,-27.437447,2.1317866,Fin,1,668
2018,3916806.3,3900811.65,-4.939169,3.1729,Oil,1,347
2018,2804066.19,2546781.9,9.231034,3.6761363,Other,3,666
2018,3085825.98,4349751.12,-24.851603,2.0292747,Fin,1,187
2018,725092.7999999998,609732.5700000001,17.054047,3.3777678,Other,3,513
2018,662431.33,780967.2999999998,-19.81935,1.9959576,Fin,3,636
2018,1596337.74,556213.0,91.93338,6.041427,Hlth,3,696
2018,800415.0,655830.0,-5.714727,2.5179856,Other,3,724
2018,7166743.449999997,10496345.64,-31.474524,1.6754647,Meals,1,492
2018,6682762.24,7432690.34,-6.270762,2.0606623,Other,3,406
2018,970818.5,1046553.09,-6.502597,1.941911,Fin,3,75
2018,1380304.38,522369.75,132.43785,6.2135115,Other,3,428
2018,1773413.4600000004,1856539.85,-5.761518,4.2017207,Other,3,196
2018,2248185.24,2840767.8000000007,-21.208204,2.9724505,Other,3,242
2018,2567285.4,4221493.12,-39.4825,3.3812768,Autos,1,186
2018,3979916.76,3707673.47,9.689045,1.3258041,Telcm,1,729
2018,4375717.8,7779274.479999999,-42.299496,2.6079137,Trans,1,174
2018,47211463.8,58222523.92,-15.050015,2.1255903,Autos,1,161
2018,531308.4,487954.94,-15.5954,2.1795783,Fin,3,596
