RET,date_m,year,notPERMNO
0.060617,202004,2020,9
0.034179,202005,2020,9
-0.008639,202006,2020,9
0.033059,202007,2020,9
0.114347,202008,2020,9
-0.005678,202009,2020,9
0.002065,202010,2020,9
0.241891,202011,2020,9
0.043056,202012,2020,9
0.058865,201901,2019,10
0.09645,201902,2019,10
-0.011607,201903,2019,10
-0.069221,201904,2019,10
-0.037185,201905,2019,10
0.015862,201906,2019,10
-0.032587,201907,2019,10
0.010526,201908,2019,10
0.115972,201909,2019,10
-0.082763,201910,2019,10
0.109227,201911,2019,10
0.070336,201912,2019,10
0.096571,202001,2020,10
0.17457,202002,2020,10
-0.244454,202003,2020,10
0.060481,202004,2020,10
0.188261,202005,2020,10
0.294501,202006,2020,10
-0.0036,202007,2020,10
0.233381,202008,2020,10
-0.021675,202009,2020,10
0.149401,202010,2020,10
0.160458,202011,2020,10
0.172615,202012,2020,10
0.109145,201901,2019,11
0.077128,201902,2019,11
-0.130864,201903,2019,11
-0.232955,201904,2019,11
0.525926,201905,2019,11
0.25,201906,2019,11
-0.27767,201907,2019,11
-0.223118,201908,2019,11
0.314879,201909,2019,11
0.313158,201910,2019,11
-0.268537,201911,2019,11
-0.589041,201912,2019,11
0.02,202001,2020,11
-0.24183,202002,2020,11
-0.516207,202003,2020,11
-0.625802,202004,2020,11
-0.571429,202005,2020,11
0.168928,201901,2019,12
0.068911,201902,2019,12
0.001859,201903,2019,12
0.041012,201904,2019,12
-0.149705,201905,2019,12
0.153889,201906,2019,12
-0.031166,201907,2019,12
-0.084961,201908,2019,12
0.124124,201909,2019,12
0.165579,201910,2019,12
0.19251,201911,2019,12
-0.008903,201912,2019,12
0.002368,202001,2020,12
-0.010768,202002,2020,12
-0.081045,202003,2020,12
0.074818,202004,2020,12
-0.031286,202005,2020,12
0.080963,201901,2019,13
0.044027,201902,2019,13
-0.007392,201903,2019,13
0.140487,201904,2019,13
0.031018,201905,2019,13
0.237225,201906,2019,13
0.098197,201907,2019,13
-0.016739,201908,2019,13
-0.173688,201909,2019,13
0.036511,201910,2019,13
0.116493,201911,2019,13
0.042254,201912,2019,13
0.085297,202001,2020,13
-0.147325,202002,2020,13
0.127804,202003,2020,13
0.203128,202004,2020,13
0.127594,202005,2020,13
-0.056196,202006,2020,13
0.220856,202007,2020,13
0.026506,202008,2020,13
-0.047576,202009,2020,13
0.128982,202010,2020,13
0.13868,202011,2020,13
0.010334,202012,2020,13
0.21423,201901,2019,14
0.127747,201902,2019,14
-0.049666,201903,2019,14
0.030657,201904,2019,14
-0.08591,201905,2019,14
0.119467,201906,2019,14
0.034741,201907,2019,14
0.10128,201908,2019,14
-0.033615,201909,2019,14
0.015557,201910,2019,14
0.037866,201911,2019,14
0.03243,201912,2019,14
0.024323,202001,2020,14
-0.1376,202002,2020,14
-0.108315,202003,2020,14
0.089304,202004,2020,14
0.182812,202005,2020,14
-0.094774,202006,2020,14
-0.037429,202007,2020,14
0.023478,202008,2020,14
0.012588,202009,2020,14
-0.023087,202010,2020,14
0.037448,202011,2020,14
0.059775,202012,2020,14
0.074499,201901,2019,15
0.0,201902,2019,15
-0.0944,201903,2019,15
-0.021737,201904,2019,15
-0.006927,201905,2019,15
0.000467,201906,2019,15
-0.040498,201907,2019,15
-0.085065,201908,2019,15
0.014904,201909,2019,15
-0.001421,201910,2019,15
0.081139,201911,2019,15
0.009217,201912,2019,15
0.086755,202001,2020,15
-0.085923,202002,2020,15
-0.218,202003,2020,15
0.141304,202004,2020,15
-0.131429,202005,2020,15
-0.02193,202006,2020,15
-0.048182,202007,2020,15
0.009551,202008,2020,15
0.056765,202009,2020,15
-0.025535,202010,2020,15
0.129542,202011,2020,15
-0.039539,202012,2020,15
0.106907,201901,2019,16
0.145415,201902,2019,16
-0.117954,201903,2019,16
-0.12257,201904,2019,16
0.061538,201905,2019,16
0.012828,201906,2019,16
-0.047208,201907,2019,16
-0.015106,201908,2019,16
0.07716,201909,2019,16
-0.088252,201910,2019,16
0.066625,201911,2019,16
-0.046236,201912,2019,16
-0.031075,202001,2020,16
-0.078897,202002,2020,16
-0.035764,202003,2020,16
0.136,202004,2020,16
-0.108835,202005,2020,16
0.090449,202006,2020,16
-0.15063,202007,2020,16
0.129687,202008,2020,16
-0.085655,202009,2020,16
0.001523,202010,2020,16
0.094297,202011,2020,16
-0.040588,202012,2020,16
0.134689,201901,2019,17
0.067059,201902,2019,17
-0.043228,201903,2019,17
-0.009628,201904,2019,17
-0.13561,201905,2019,17
0.104398,201906,2019,17
0.021142,201907,2019,17
-0.13053,201908,2019,17
0.110635,201909,2019,17
0.099531,201910,2019,17
0.025828,201911,2019,17
-0.006057,201912,2019,17
-0.132733,202001,2020,17
-0.064681,202002,2020,17
-0.039982,202003,2020,17
0.13236,202004,2020,17
-0.04692,202005,2020,17
-0.027638,202006,2020,17
-0.038307,202007,2020,17
-0.025883,202008,2020,17
-0.159268,202009,2020,17
0.093738,202010,2020,17
0.18066,202011,2020,17
0.086635,202012,2020,17
0.515152,201901,2019,18
-0.125676,201902,2019,18
0.339516,201903,2019,18
0.007692,201904,2019,18
-0.236641,201905,2019,18
-0.5001,201906,2019,18
-0.111822,201907,2019,18
-0.060372,201908,2019,18
-0.078369,201909,2019,18
-0.282445,201910,2019,18
-0.008336,201911,2019,18
0.100877,201912,2019,18
-0.130146,202001,2020,18
-0.083969,202002,2020,18
-0.174583,202003,2020,18
0.74003,202004,2020,18
-0.279568,202005,2020,18
0.096644,202006,2020,18
-0.023256,202007,2020,18
-0.199248,202008,2020,18
-0.286385,202009,2020,18
0.006579,202010,2020,18
0.169935,202011,2020,18
0.162011,202012,2020,18
0.064516,201901,2019,19
0.313131,201902,2019,19
-0.015385,201903,2019,19
-0.023438,201904,2019,19
-0.24,201905,2019,19
0.069474,201906,2019,19
-0.055118,201907,2019,19
-0.139583,201908,2019,19
0.079903,201909,2019,19
-0.060538,201910,2019,19
0.026253,201911,2019,19
-0.025581,201912,2019,19
0.033413,202001,2020,19
0.170901,202002,2020,19
-0.169625,202003,2020,19
0.330166,202004,2020,19
0.321429,202005,2020,19
-0.008108,202006,2020,19
0.384196,202007,2020,19
-0.187992,202008,2020,19
-0.121212,202009,2020,19
0.235862,202010,2020,19
0.017857,202011,2020,19
0.02193,202012,2020,19
1.565942,201901,2019,20
-0.301563,201902,2019,20
-0.075188,201903,2019,20
-0.256098,201904,2019,20
-0.169399,201905,2019,20
-0.118421,201906,2019,20
-0.186567,201907,2019,20
-0.027523,201908,2019,20
0.004717,201909,2019,20
0.051643,201910,2019,20
0.071429,201911,2019,20
-0.070833,201912,2019,20
0.038117,202001,2020,20
0.136069,202002,2020,20
-0.368821,202003,2020,20
0.475904,202004,2020,20
0.089796,202005,2020,20
3.868914,202006,2020,20
-0.208462,202007,2020,20
0.16035,202008,2020,20
0.242044,202009,2020,20
0.068105,202010,2020,20
0.420455,202011,2020,20
-0.221333,202012,2020,20
0.102164,201901,2019,21
0.190879,201902,2019,21
-0.088832,201903,2019,21
0.089286,201904,2019,21
-0.272804,201905,2019,21
-0.006647,201906,2019,21
